objectid,f_id,id,content,co_oridinate1,co_oridinate2,pubtime,comment_,like_,transfer,tools
1419417,1954319095-M_EySZ2dZ9a,1954319095,忙里偷闲，迎来第二个传奇宝箱[鼓掌] @部落冲突-皇室战争Clash-Royale   北京·西四  ???,39.92313,116.369942,2017/3/8 21:52,0,0,0,iPhone 7
1487674,1954319095-M_Ezj1xix2z,1954319095,北京·奥林匹克公园中心区（商圈） [星星][星星][星星][星星][星星]， #值得去# 第一次光临鸟巢水立方  北京·奥林匹克公园中心区（商圈）  ???,39.990002,116.395073,2017/3/11 16:09,0,0,0,iPhone 7
1526557,1954319095-M_EzuhLdmZz,1954319095,#今日贴纸打卡# 12日首游故宫，先小发一张[酷]  北京·明清紫禁城  ???,39.915432,116.397278,2017/3/12 20:49,0,0,0,iPhone 7
1667606,1954319095-M_EAlbcAnep,1954319095,逛北大，升锅炉[二哈] @部落冲突-皇室战争Clash-Royale   北京·北京大学  ???,39.986797,116.305939,2017/3/18 11:29,0,0,0,iPhone 7
1672609,1954319095-M_EAmwpAbSq,1954319095,北京·北京大学 [星星][星星][星星][星星][星星]，感受中国顶尖学府，真长见识[酷]  北京·北京大学  ???,39.986797,116.305939,2017/3/18 14:54,0,0,0,iPhone 7
1674182,1954319095-M_EAmUSE58I,1954319095,北京·清华大学本部 [星星][星星][星星][星星][星星]，清华园，崇拜之地[二哈]  北京·清华大学本部  ???,39.999229,116.326614,2017/3/18 15:54,0,0,0,iPhone 7
1677706,1954319095-M_EAnIN2oph,1954319095,京城一锅羊蝎子，美味十足[强][强][强]  北京·五道口  ???,39.993092,116.338501,2017/3/18 17:57,3,2,0,iPhone 7
1701197,1954319095-M_EAvF1b9qG,1954319095,北京·聚德华天烤肉季(什刹海总店) [星星][星星][星星][星星][星星]，后海烤肉季，烤羊肉.红烧牛尾.羊肉串，真的是阔以[强]  北京·聚德华天烤肉季(什刹海总店)  ???,39.939041,116.393883,2017/3/19 14:10,0,3,0,iPhone 7
1851866,1954319095-M_EBqey0z64,1954319095,北京·颐和园 [星星][星星][星星][星星][星星]， #值得去# 皇家名园，风景独特，不错[强]  北京·颐和园  ???,39.998211,116.2817,2017/3/25 14:11,0,1,0,iPhone 7
1867640,1954319095-M_EBtKMvGea,1954319095,冰法终于来了，真心不容易[污] @部落冲突-皇室战争Clash-Royale   北京·西四  ???,39.923141,116.369789,2017/3/25 23:09,1,3,0,iPhone 7
1879161,1954319095-M_EBz4999IE,1954319095,北京·天坛 [星星][星星][星星][星星][星星]，祈年殿，皇帝祈福[污]  北京·天坛  ???,39.878349,116.412613,2017/3/26 12:40,0,1,0,iPhone 7
576382,1954362807-M_Et47ntaQh,1954362807,早起，顶着大风去看升旗  北京·北京天安门  ???,39.92350016,116.3494219,2017/1/29 15:10,0,1,0,纤薄王者X5Max
593654,1954362807-M_Eth92FNko,1954362807,送给未来男朋友的礼物  北京  ???,39.91496,116.50172,2017/1/31 0:20,3,4,0,纤薄王者X5Max
597537,1954362807-M_Etmv0mbbQ,1954362807,真的北京的兵哥哥炒鸡帅气，我的花痴心[心]  北京·朝阳公园  ???,39.940102,116.481598,2017/1/31 13:58,0,5,0,纤薄王者X5Max
604452,1954362807-M_EtpXPijqF,1954362807,兔兔那么可爱  北京  ???,40.02655,116.61556,2017/1/31 22:47,0,3,0,纤薄王者X5Max
6738633,1954498341-M_FmYowofxw,1954498341,此处空余文渊阁。乾隆为修贮四库全书的专门馆，然而四库全书全在台北故宫博物院。想起去年此时在台大图书馆里看到四库全书完整的复制本馆藏，有种说不出的滋味儿。  北京·故宫  ???,39.913162,116.397163,2017/9/22 12:19,1,0,1,iPhone 6
6788113,1954498341-M_FnbknaEFM,1954498341,屯还是这个屯…人还是嗷嗷嗷嗷嗷嗷的多??????  北京·三里屯太古里  ???,39.935692,116.455566,2017/9/23 21:14,1,0,0,iPhone 6
6805714,1954498341-M_FngV9bltB,1954498341,首博的民俗馆还蛮有趣的，刚跨进去，一个小朋友直接拉着我得手去看福禄寿星，“姐姐，我给你讲讲寿星的故事吧！”  北京·首都博物馆  ???,39.905918,116.342117,2017/9/24 11:29,0,2,0,iPhone 6
6815818,1954498341-M_Fnj9regbh,1954498341,二度进宫[并不简单] 来看看你们文物修的怎么样了  北京  ???,39.920891,116.399612,2017/9/24 17:09,1,2,0,iPhone 6
9191360,1954525901-M_FyPNVyf7t,1954525901,???落地  北京·北京华尔道夫酒店  ???,39.91597,116.413567,2017/12/9 12:30,0,1,0,iPhone X
9199939,1954525901-M_FyRy8nxXH,1954525901,四点就来了（五点就要排队才能吃到了，进来的时候里面几乎已经坐满）虽然已经坐下了，但还是要等一个半小时的烤鸭[微笑]评价比大董还要好哦！  北京·四季民福（灯市口店）  ???,39.917965,116.408623,2017/12/9 16:57,1,28,2,iPhone X
9211979,1954525901-M_FyTvXb6Th,1954525901,月亮]只想每天與妳說晚安  北京·北京华尔道夫酒店  ???,39.91597,116.413567,2017/12/9 21:57,0,2,0,iPhone X
9253564,1954525901-M_Fz3qlmkQz,1954525901,喜欢  北京  ???,39.91946,116.453438,2017/12/10 23:11,0,2,0,iPhone X
5299554,1954565897-M_FfdgyB8rI,1954565897,北京·故宫养心殿(东华门街道) [星星][星星][星星][星星][星星]  北京·故宫养心殿(东华门街道)  ???,39.920456,116.396072,2017/8/2 11:28,0,1,0,iPhone 6s
5308147,1954565897-M_FfgaM3n6P,1954565897,D1.故宫，景山公园，南锣鼓巷，什刹海  北京·北师大（商圈）  ???,39.933151,116.383881,2017/8/2 18:52,0,1,0,iPhone 6s
5328694,1954565897-M_Ffol3vVUE,1954565897,感觉可以在里面待一礼拜  北京·中国国家博物馆  ???,39.905338,116.401505,2017/8/3 15:39,0,1,0,iPhone 6s
5333833,1954565897-M_FfpUG9x49,1954565897,D2：中南海，国博，前门大街  北京·菜市口  ???,39.889381,116.378929,2017/8/3 19:40,0,0,0,iPhone 6s
5489477,1954565897-M_FghNQ9xx6,1954565897,D7-8：回帝都，朝阳一日游[睡]  北京·三里屯太古里  ???,39.935692,116.455566,2017/8/9 12:51,1,1,0,iPhone 6s
9064045,1954860815-M_Fye0aBwN0,1954860815,分享图片  北京·中国农业科学院  ???,39.965958,116.329811,2017/12/5 12:16,0,5,0,
9076447,1954860815-M_Fyh9Zbh9S,1954860815,新买了香水，又看中一件羽绒服和包，计划元旦去旅游，我真是分分钟把下学期学费花光的节奏，于是羽绒衣和包就再见吧！！！ #冒个泡#  附上老毛对我爱的照片，这是多爱我才能拍的这么美 @傲偏情节   北京·中国农业科学院  ???,39.965958,116.329811,2017/12/5 20:18,9,7,0,
9094751,1954860815-M_Fynp0CoqC,1954860815,-2017/12/6 北京 周四 晴 -中午回宿舍路上的光与影  ???  北京·中国农业科学院  ???,39.965958,116.329811,2017/12/6 12:12,4,8,0,
9139742,1954860815-M_FyA2mxZ4h,1954860815,今年北京的雾霾仿佛消失了，连续一个周的晴天[太阳]?，和小方要是有时间就从北牧场直接走回来，冷是冷，风景也是好[心]  ???  北京·皂君庙  ???,39.960674,116.335014,2017/12/7 20:22,0,6,0,
9233008,1954860815-M_FyZOgx7hc,1954860815,故宫东门外的湖一半结了冰，美的跟画似的。  北京·中国农业科学院  ???,39.965958,116.329811,2017/12/10 13:59,0,5,0,
9339259,1954860815-M_FztpUr2kC,1954860815,嗯！过了2017就25了，很愉快的给自己买了套红ba，虽然只是中样（没钱啊，哭）希望可以拯救我衰老的脸，不过我的鱼尾纹和黑眼圈要怎么办！！  北京·皂君庙  ???,39.960674,116.335014,2017/12/13 17:21,0,4,0,
9405029,1954860815-M_FzLMPAARm,1954860815,师姐：你这个课题x大学也在做也定到x染色体了，腻要抓紧。 我：那是不是间接证明我的定位没有错？ （现在想想我真tm心大，我万一毕不了业了，我要找谁哭呀[泪][泪][泪]）  北京·中国农业科学院  ???,39.965958,116.329811,2017/12/15 16:07,0,0,0,
9483249,1954860815-M_FA5uZwXFp,1954860815,一想到明天我那4000多颗苗子至少可以扔到一大半我睡着都会笑醒！！感谢师姐周末陪我地里熬了两天！（虽然师姐没有关注我[允悲]）  北京·中国农业科学院  ???,39.965958,116.329811,2017/12/17 18:18,1,4,0,
9739250,1954860815-M_FB8OMvDqr,1954860815,周末又要过去了！！又是忙碌的下一周！！  北京·中国农业科学院  ???,39.965958,116.329811,2017/12/24 16:35,0,2,0,
9875119,1954860815-M_FBCA6AzOr,1954860815,我这破双眼皮就跟割的似的！！！！  北京·皂君庙  ???,39.960674,116.335014,2017/12/27 20:21,2,0,0,iPhone 6s Plus
2214657,1955211621-M_EDnsSrMHo,1955211621,我在北京天安门的卖萌。  北京·天安门(南一号门)  ???,39.90857,116.39781,2017/4/7 10:49,2,5,0,够快才畅快vivo X6
2237383,1955211621-M_EDvW1io0s,1955211621,污][污][污]哎呀妈呀，这是在北京哈。诚是不赖啦！  北京·广渠门  ???,39.89339,116.44858,2017/4/8 8:22,5,10,0,够快才畅快vivo X6
2275368,1955211621-M_EDHOa5cLo,1955211621,排队ing。洪记看来很出名喔。[哆啦A梦汗][哆啦A梦汗][哆啦A梦汗]从来没有断过排队的人。  北京·牛街小区  ???,39.89418,116.370924,2017/4/9 14:36,7,0,0,够快才畅快vivo X6
9723002,1955403045-M_FB5oi1qPx,1955403045,难道我长了一张好骗的脸？一下火车就遇到骗子，首都啊！ 还好智商在线！！！  北京·积水潭  ???,39.945469,116.373512,2017/12/24 7:52,2,0,0,
9726100,1955403045-M_FB6derOLZ,1955403045,把自己包得像粽子！[嘻嘻][嘻嘻][嘻嘻]  北京·雍和宫（商圈）  ???,39.948349,116.417099,2017/12/24 9:57,2,0,0,
9734191,1955403045-M_FB7QKrRDA,1955403045,东来顺里只吃黑木耳，涮大白菜、生菜~~~ 我也算是头一个吧！  北京·东来顺火锅(王府井店)  ???,39.91106,116.411682,2017/12/24 14:07,3,0,0,
9749592,1955403045-M_FBac67wMs,1955403045,首都的平安夜！ 酒店蜗居点外卖~~~  ???  北京·贵宾楼饭店  ???,39.908382,116.407196,2017/12/24 20:05,0,0,0,
9775564,1955403045-M_FBeMZrYQ2,1955403045,圣诞快乐！  北京·天安门广场  ???,39.906021,116.397659,2017/12/25 7:47,0,0,0,
9781571,1955403045-M_FBg76rBts,1955403045,一个人感受着校园的宁静！  北京·北京大学  ???,39.987759,116.305603,2017/12/25 11:09,4,0,0,
9790851,1955403045-M_FBi79w9Wn,1955403045,88！[挤眼]  北京·北京西站  ???,39.895039,116.321678,2017/12/25 16:15,0,0,0,
4366846,1955529984-M_F9BVIFeTC,1955529984,道狭草木长，夕露沾我衣。 衣沾不足惜，但使愿无违。  北京·北京市海淀区白家疃小学  ???,40.037182,116.179443,2017/6/26 15:13,0,1,0,iPhone 7 Plus
4369432,1955529984-M_F9CP57T4W,1955529984,这应该是每个从警人的梦[列车员]  北京·中国人民公安大学(木樨地校区)  ???,39.902676,116.338188,2017/6/26 17:30,0,0,0,iPhone 7 Plus
4376563,1955529984-M_F9EGCsZOd,1955529984,上次来时还是两人 如今再来只剩一人 One Night in 北京 我留下许多情 不管你爱与不爱 都是历史的尘埃  北京  ???,39.944279,116.263779,2017/6/26 22:14,0,0,0,iPhone 7 Plus
4382354,1955529984-M_F9HyMfk9R,1955529984,5点半的北京城[落日]  北京·西直门  ???,39.94104,116.355591,2017/6/27 5:33,0,0,0,iPhone 7 Plus
4383113,1955529984-M_F9Ijzn8uY,1955529984,行装，偏爱黑色 内心，却是此间少年 护照，48页。 但每个终点都值得赞颂千篇 旅程，左右万里。 时差却最多一天。  北京·首都机场T2航站楼  ???,40.079681,116.593353,2017/6/27 7:29,0,0,0,iPhone 7 Plus
4384660,1955529984-M_F9IXTwMe1,1955529984,坐法航、全程就像看一部法语电影[皱眉] 法语好听但难学[皱眉]  北京·首都机场T2航站楼23号登机口  ???,40.064049,116.589691,2017/6/27 9:08,0,0,0,iPhone 7 Plus
4606851,1955529984-M_Fb5Etb7J9,1955529984,一看窗外知道回国了[摊手] 窗外的雾霾真大[摊手]  北京·北京首都国际机场(商务中心)  ???,40.080753,116.589806,2017/7/6 8:44,16,4,0,iPhone 7 Plus
4613734,1955529984-M_Fb7FudG20,1955529984,换个角度看世界??  北京·北京西站  ???,39.895039,116.321678,2017/7/6 13:52,0,0,0,iPhone 7 Plus
