fid,content,clearcontent,lei
8719,#北京城里的叶子黄了#                                   [微风][微风]  北京  ???,                                        北京  ,0
9537,#2017中国乐谷.华录音乐嘉年华#   [haha][haha][haha] @霾晦乐队   @腰子同学   @金属热狗-李成龙   @棒棒棒棒棒棒_BANG   @Bass-李萌   一起摇起来！！！ 还在等什么呢？  北京·渔阳滑雪场   秒拍视频  ???,                            一起摇起来！！！ 还在等什么呢？      ,0
6489,#周杰伦地表最强演唱会北京站#                          “在屋顶唱着你的歌～”  北京·ULO PARK悠乐汇   麦吉丽Mageline艺艺的秒拍视频  ???,                           “在屋顶唱着你的歌～”   PARK悠乐汇    ,0
1679,#花式比心#                         “遇到可爱的人                                    生活一下子不艰难了                         街道也好 晚风也罢 都很甜”[心][心][心]  北京·成寿寺路（商圈）  ???,                          “遇到可爱的人                                    生活一下子不艰难了                         街道也好 晚风也罢 都很甜”     （商圈）  ,0
2278,#0.618#   @宋林雨   @宋林雨   @Mr_S释怀   @笃妤晴   #篮球# #篮球图库#   cp[噢耶][噢耶] #很0.618# #晚安，各位#   好梦[月亮][月亮]  北京·交林小区  ???,                          cp         好梦      ,0
159,#北京无痕接发#    #美妆造型#                    快乐要懂得分享，[鲜花]才能加倍的快乐。  北京·三里屯SOHO  ???,                          快乐要懂得分享， 才能加倍的快乐。    ,0
5021,@爱奇艺   @爱奇艺偶像练习生   #偶像练习生#   @超能唱片   @CNK男团   @CNK-武连杰  我们的小哥哥HICO武连杰上线了 #张艺兴全民制作人#  请多多关照请为我们的小哥哥打Call  北京·星颜娱乐  ???,                       我们的小哥哥HICO武连杰上线了    请多多关照请为我们的小哥哥打Call    ,0
858,#30天安利魏巡#  [心] #魏巡12月新歌首发#  [心] #魏巡#  [心] @WIN魏巡   [鲜花]我们统一把call值投在《新晋歌手魏巡》上面 不要分散投哦[鲜花] 为了让WIN魏巡获得热搜称号：新晋歌手魏巡，我在  #热搜疯狂打call#  中为WIN魏巡倾情投入316 call值！离成功还差19970438call值，快来与我并肩作战！ >>>  ???? 全文,                    我们统一把call值投在《新晋歌手魏巡》上面 不要分散投哦  为了让WIN魏巡获得热搜称号：新晋歌手魏巡，我在     中为WIN魏巡倾情投入316 call值！离成功还差19970438call值，快来与我并肩作战！ >>>  ? 全文,0
2329,@哈哈哈小虎    @阿番_tomato番    @-刀-    @北泠先生__初元   我爱里们！！陪我度过了2017年 我十九岁的最后一天！！！[鲜花][鲜花][鲜花]人太多了我实在记不清谁是谁瞎圈一气了 爱你们！  北京·北京西站  ???,                   我爱里们！！陪我度过了2017年 我十九岁的最后一天！！！   人太多了我实在记不清谁是谁瞎圈一气了 爱你们！    ,0
653,#魏巡湖南卫视跨年演唱会#  [心] #魏巡12月新歌首发#  [心] #魏巡#  [心] @WIN魏巡   我在 #明星势力榜# 内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！ 明星势力榜第19位    @WIN魏巡   北京·鼓楼大街  ???,                   我在   内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！ 明星势力榜第19位          ,0
2428,#韩庚#  [心] #你好，演员韩庚#    #韩庚万物生长#       韩庚主演电影《万物生长》是影片改编自根据冯唐小说《万物生长》，讲述了男孩秋水考上医科大学，在两个女生间游走，并与一群损友鬼混的青春爱情故事。重温一下相关预告  风行网的微博视频  ?  北京·顺景温泉酒店  ???,                  韩庚主演电影《万物生长》是影片改编自根据冯唐小说《万物生长》，讲述了男孩秋水考上医科大学，在两个女生间游走，并与一群损友鬼混的青春爱情故事。重温一下相关预告    ?    ,0
9572,"#Life|探店# #北京探店# #文具空间站#   @银河系手帐指南   @BENZSTORE本子事多   北京??本事文具 [绿叶]专门坐地铁去这家文具店，从入口进去，上二楼直接就可以看见 [绿叶]手帐样式很全，各种大小，各种内页，全都能找到 [绿叶]国产胶带比较多,mt,仓敷意匠的比较少 [绿叶]便签便利贴很全，买了很多 [绿叶]还有一些包 ???? 全文","                北京??本事文具  专门坐地铁去这家文具店，从入口进去，上二楼直接就可以看见  手帐样式很全，各种大小，各种内页，全都能找到  国产胶带比较多,mt,仓敷意匠的比较少  便签便利贴很全，买了很多  还有一些包 ? 全文",0
6519,#海航集团世界500强排名晋升至170位#   @海航陈峰   @海南航空   @海航集团HNA  6月12日海航重庆飞北京航班延误8个多小时，期间航空公司串通机场地勤一直蒙骗乘客说：飞机已到！很快可以登机，还能不断的给出预计登机时间，结果一直等了8个多小时，到凌晨5点半才起飞。延误时间里，乘客就这么一直或站或蹲的在 ???? 全文,               6月12日海航重庆飞北京航班延误8个多小时，期间航空公司串通机场地勤一直蒙骗乘客说：飞机已到！很快可以登机，还能不断的给出预计登机时间，结果一直等了8个多小时，到凌晨5点半才起飞。延误时间里，乘客就这么一直或站或蹲的在 ? 全文,0
7190,@刺猬体验   @一只小胖达   @Jason杜俊贤   @郭嗯嗯-  今天的北京晚风有点惬意明天回家啦  北京·宝源大厦  ???,               今天的北京晚风有点惬意明天回家啦    ,0
